"orgnr";"denominator";"year";"ind_id";"var"
974631091;511;2016;"leddprotese_surv2_kne";500
974631326;398;2016;"leddprotese_surv2_kne";392
974705788;279;2016;"leddprotese_surv2_kne";272
974116804;588;2016;"leddprotese_surv2_kne";559
974316285;437;2016;"leddprotese_surv2_kne";430
974207532;1973;2016;"leddprotese_surv2_kne";1932
974724774;315;2016;"leddprotese_surv2_kne";312
974746948;402;2016;"leddprotese_surv2_kne";385
974747545;179;2016;"leddprotese_surv2_kne";172
974742985;110;2016;"leddprotese_surv2_kne";108
974743272;308;2016;"leddprotese_surv2_kne";286
974632535;361;2016;"leddprotese_surv2_kne";353
974795833;152;2016;"leddprotese_surv2_kne";150
974795639;258;2016;"leddprotese_surv2_kne";257
974557746;159;2016;"leddprotese_surv2_kne";153
974754118;470;2016;"leddprotese_surv2_kne";457
974631385;397;2016;"leddprotese_surv2_kne";382
974631776;368;2016;"leddprotese_surv2_kne";361
874743372;584;2016;"leddprotese_surv2_kne";575
974633558;846;2016;"leddprotese_surv2_kne";840
874632562;289;2016;"leddprotese_surv2_kne";287
974116588;1749;2016;"leddprotese_surv2_kne";1725
974633698;604;2016;"leddprotese_surv2_kne";590
974795787;320;2016;"leddprotese_surv2_kne";317
974749025;598;2016;"leddprotese_surv2_kne";576
874716782;60;2016;"leddprotese_surv2_kne";59
974631407;376;2016;"leddprotese_surv2_kne";366
974631768;515;2016;"leddprotese_surv2_kne";502
974703300;647;2016;"leddprotese_surv2_kne";636
974744570;85;2016;"leddprotese_surv2_kne";84
974706490;538;2016;"leddprotese_surv2_kne";529
974733013;413;2016;"leddprotese_surv2_kne";406
974747138;314;2016;"leddprotese_surv2_kne";308
974795574;204;2016;"leddprotese_surv2_kne";200
974633191;242;2016;"leddprotese_surv2_kne";239
974725215;745;2016;"leddprotese_surv2_kne";730
974589095;214;2016;"leddprotese_surv2_kne";206
922748144;131;2016;"leddprotese_surv2_kne";128
974595214;238;2016;"leddprotese_surv2_kne";229
879595762;131;2016;"leddprotese_surv2_kne";128
974631091;554;2017;"leddprotese_surv2_kne";543
974631326;483;2017;"leddprotese_surv2_kne";476
974705788;262;2017;"leddprotese_surv2_kne";253
974116804;593;2017;"leddprotese_surv2_kne";567
974316285;468;2017;"leddprotese_surv2_kne";459
974207532;2022;2017;"leddprotese_surv2_kne";1976
974724774;307;2017;"leddprotese_surv2_kne";304
974746948;409;2017;"leddprotese_surv2_kne";390
974747545;211;2017;"leddprotese_surv2_kne";203
974742985;107;2017;"leddprotese_surv2_kne";105
974743272;325;2017;"leddprotese_surv2_kne";302
974632535;352;2017;"leddprotese_surv2_kne";344
974795639;290;2017;"leddprotese_surv2_kne";289
974557746;161;2017;"leddprotese_surv2_kne";155
974754118;436;2017;"leddprotese_surv2_kne";422
974631385;420;2017;"leddprotese_surv2_kne";405
974631776;360;2017;"leddprotese_surv2_kne";354
874743372;695;2017;"leddprotese_surv2_kne";687
974633558;930;2017;"leddprotese_surv2_kne";922
874632562;280;2017;"leddprotese_surv2_kne";278
974116588;1813;2017;"leddprotese_surv2_kne";1788
974633698;607;2017;"leddprotese_surv2_kne";594
974753898;264;2017;"leddprotese_surv2_kne";260
974795787;307;2017;"leddprotese_surv2_kne";303
974749025;634;2017;"leddprotese_surv2_kne";614
974631407;418;2017;"leddprotese_surv2_kne";409
974631768;556;2017;"leddprotese_surv2_kne";544
974703300;715;2017;"leddprotese_surv2_kne";702
974744570;81;2017;"leddprotese_surv2_kne";80
974706490;651;2017;"leddprotese_surv2_kne";638
974733013;427;2017;"leddprotese_surv2_kne";422
974747138;319;2017;"leddprotese_surv2_kne";312
974795574;231;2017;"leddprotese_surv2_kne";226
974633191;214;2017;"leddprotese_surv2_kne";212
974725215;776;2017;"leddprotese_surv2_kne";760
974589095;233;2017;"leddprotese_surv2_kne";224
922748144;158;2017;"leddprotese_surv2_kne";153
974595214;246;2017;"leddprotese_surv2_kne";237
973156829;99;2017;"leddprotese_surv2_kne";98
879595762;110;2017;"leddprotese_surv2_kne";107
975787419;281;2017;"leddprotese_surv2_kne";274
974631326;568;2018;"leddprotese_surv2_kne";562
974705788;283;2018;"leddprotese_surv2_kne";271
974116804;589;2018;"leddprotese_surv2_kne";563
974316285;464;2018;"leddprotese_surv2_kne";455
974207532;2019;2018;"leddprotese_surv2_kne";1975
974724774;318;2018;"leddprotese_surv2_kne";315
974746948;429;2018;"leddprotese_surv2_kne";409
974747545;253;2018;"leddprotese_surv2_kne";245
974742985;103;2018;"leddprotese_surv2_kne";102
974743272;308;2018;"leddprotese_surv2_kne";290
974632535;343;2018;"leddprotese_surv2_kne";334
974795639;330;2018;"leddprotese_surv2_kne";329
974557746;162;2018;"leddprotese_surv2_kne";156
974754118;405;2018;"leddprotese_surv2_kne";393
974631385;483;2018;"leddprotese_surv2_kne";465
974631776;381;2018;"leddprotese_surv2_kne";374
874743372;832;2018;"leddprotese_surv2_kne";823
974633558;975;2018;"leddprotese_surv2_kne";966
874632562;283;2018;"leddprotese_surv2_kne";281
974116588;1859;2018;"leddprotese_surv2_kne";1831
974633698;652;2018;"leddprotese_surv2_kne";639
974753898;281;2018;"leddprotese_surv2_kne";277
974329506;393;2018;"leddprotese_surv2_kne";376
974795787;266;2018;"leddprotese_surv2_kne";262
974749025;628;2018;"leddprotese_surv2_kne";608
974631407;466;2018;"leddprotese_surv2_kne";457
974631768;618;2018;"leddprotese_surv2_kne";608
974703300;758;2018;"leddprotese_surv2_kne";742
974744570;80;2018;"leddprotese_surv2_kne";79
974706490;785;2018;"leddprotese_surv2_kne";769
974733013;425;2018;"leddprotese_surv2_kne";421
974747138;320;2018;"leddprotese_surv2_kne";313
974633191;184;2018;"leddprotese_surv2_kne";183
974725215;866;2018;"leddprotese_surv2_kne";847
974589095;237;2018;"leddprotese_surv2_kne";227
922748144;175;2018;"leddprotese_surv2_kne";169
974595214;240;2018;"leddprotese_surv2_kne";233
973156829;120;2018;"leddprotese_surv2_kne";117
879595762;99;2018;"leddprotese_surv2_kne";95
975787419;296;2018;"leddprotese_surv2_kne";287
974631091;590;2019;"leddprotese_surv2_kne";581
974631326;673;2019;"leddprotese_surv2_kne";665
974705788;299;2019;"leddprotese_surv2_kne";286
974116804;613;2019;"leddprotese_surv2_kne";585
974316285;502;2019;"leddprotese_surv2_kne";489
974207532;2015;2019;"leddprotese_surv2_kne";1968
974724774;325;2019;"leddprotese_surv2_kne";320
974746948;432;2019;"leddprotese_surv2_kne";412
974747545;276;2019;"leddprotese_surv2_kne";267
974742985;103;2019;"leddprotese_surv2_kne";101
974743272;293;2019;"leddprotese_surv2_kne";274
974632535;364;2019;"leddprotese_surv2_kne";354
974795639;382;2019;"leddprotese_surv2_kne";381
974557746;166;2019;"leddprotese_surv2_kne";162
974754118;372;2019;"leddprotese_surv2_kne";361
974631385;556;2019;"leddprotese_surv2_kne";537
974631776;408;2019;"leddprotese_surv2_kne";400
874743372;979;2019;"leddprotese_surv2_kne";968
974633558;961;2019;"leddprotese_surv2_kne";950
874632562;285;2019;"leddprotese_surv2_kne";283
974116588;1908;2019;"leddprotese_surv2_kne";1882
974633698;661;2019;"leddprotese_surv2_kne";648
974753898;319;2019;"leddprotese_surv2_kne";314
974795361;273;2019;"leddprotese_surv2_kne";263
974329506;363;2019;"leddprotese_surv2_kne";348
974795787;237;2019;"leddprotese_surv2_kne";233
974749025;646;2019;"leddprotese_surv2_kne";631
974631407;504;2019;"leddprotese_surv2_kne";495
974631768;650;2019;"leddprotese_surv2_kne";640
974703300;776;2019;"leddprotese_surv2_kne";760
974744570;63;2019;"leddprotese_surv2_kne";62
974706490;870;2019;"leddprotese_surv2_kne";851
974733013;419;2019;"leddprotese_surv2_kne";414
974747138;322;2019;"leddprotese_surv2_kne";316
974633191;190;2019;"leddprotese_surv2_kne";190
974725215;918;2019;"leddprotese_surv2_kne";896
974589095;246;2019;"leddprotese_surv2_kne";234
922748144;211;2019;"leddprotese_surv2_kne";205
973156829;157;2019;"leddprotese_surv2_kne";153
879595762;76;2019;"leddprotese_surv2_kne";72
975787419;291;2019;"leddprotese_surv2_kne";284
